id,title,author,text,label
20,Scientists Map Human Genome Progress,Patricia Brown,"In an interview, the mayor highlighted community involvement in the project.",0
21,New Study Reveals Benefits of Exercise,Sam Lee,"In an interview, the mayor highlighted community involvement in the project.",0
22,Miracle Cure for Diabetes Discovered,Jane Doe,Secret studies reveal that drinking this tea daily can help you lose weight overnight...,1
23,Local Community Center Opens New Wing,Alex Johnson,"In an interview, the mayor highlighted community involvement in the project.",0
24,Shocking Health Secret Exposed,Alex Johnson,Secret studies reveal that drinking this tea daily can help you lose weight overnight...,1
25,Celeb Scandals Hidden from You,Jane Doe,Politician caught in scandal that mainstream media refuses to report...,1
26,Miracle Cure for Diabetes Discovered,Sam Lee,New research shows cures suppressed by pharmaceutical companies...,1
27,Local Community Center Opens New Wing,Alex Johnson,"The study, conducted over five years, demonstrates a strong correlation between A and B.",0
28,Stock Market Sees Moderate Growth,Alex Johnson,Officials announced a new public transportation route aimed at reducing traffic.,0
29,You Won’t Believe What Politician Said,Alex Johnson,Secret studies reveal that drinking this tea daily can help you lose weight overnight...,1
30,Scientists Map Human Genome Progress,Patricia Brown,Officials announced a new public transportation route aimed at reducing traffic.,0
31,Mayor Announces Infrastructure Plan,Sam Lee,"The study, conducted over five years, demonstrates a strong correlation between A and B.",0
32,Shocking Health Secret Exposed,John Smith,Secret studies reveal that drinking this tea daily can help you lose weight overnight...,1
33,Local Community Center Opens New Wing,Patricia Brown,Officials announced a new public transportation route aimed at reducing traffic.,0
34,Shocking Health Secret Exposed,Unknown,Secret studies reveal that drinking this tea daily can help you lose weight overnight...,1
35,Scientists Map Human Genome Progress,John Smith,Officials announced a new public transportation route aimed at reducing traffic.,0
36,Celeb Scandals Hidden from You,Unknown,Secret studies reveal that drinking this tea daily can help you lose weight overnight...,1
37,Government Plans to Confiscate Guns,Sam Lee,Secret studies reveal that drinking this tea daily can help you lose weight overnight...,1
38,Mayor Announces Infrastructure Plan,Patricia Brown,"The study, conducted over five years, demonstrates a strong correlation between A and B.",0
39,Local Community Center Opens New Wing,Alex Johnson,Officials announced a new public transportation route aimed at reducing traffic.,0
40,Stock Market Sees Moderate Growth,Sam Lee,"The study, conducted over five years, demonstrates a strong correlation between A and B.",0
41,New Study Reveals Benefits of Exercise,John Smith,"The study, conducted over five years, demonstrates a strong correlation between A and B.",0
42,New Study Reveals Benefits of Exercise,Jane Doe,"The study, conducted over five years, demonstrates a strong correlation between A and B.",0
43,Local Community Center Opens New Wing,Patricia Brown,"According to a recent report by credible sources, the city budget increased by 5%.",0
44,Stock Market Sees Moderate Growth,Patricia Brown,Officials announced a new public transportation route aimed at reducing traffic.,0
45,New Study Reveals Benefits of Exercise,John Smith,Officials announced a new public transportation route aimed at reducing traffic.,0
46,Miracle Cure for Diabetes Discovered,John Smith,Secret studies reveal that drinking this tea daily can help you lose weight overnight...,1
47,Local Community Center Opens New Wing,John Smith,"In an interview, the mayor highlighted community involvement in the project.",0
48,Mayor Announces Infrastructure Plan,John Smith,"The study, conducted over five years, demonstrates a strong correlation between A and B.",0
49,Government Plans to Confiscate Guns,Alex Johnson,Secret studies reveal that drinking this tea daily can help you lose weight overnight...,1
50,Government Plans to Confiscate Guns,Patricia Brown,New research shows cures suppressed by pharmaceutical companies...,1
51,Miracle Cure for Diabetes Discovered,Jane Doe,New research shows cures suppressed by pharmaceutical companies...,1
52,Celeb Scandals Hidden from You,Patricia Brown,This unbelievable event will change everything you know about the government...,1
53,You Won’t Believe What Politician Said,Alex Johnson,Politician caught in scandal that mainstream media refuses to report...,1
54,Local Community Center Opens New Wing,John Smith,"In an interview, the mayor highlighted community involvement in the project.",0
55,You Won’t Believe What Politician Said,Sam Lee,Politician caught in scandal that mainstream media refuses to report...,1
56,Local Community Center Opens New Wing,Unknown,"The study, conducted over five years, demonstrates a strong correlation between A and B.",0
57,Government Plans to Confiscate Guns,Alex Johnson,Secret studies reveal that drinking this tea daily can help you lose weight overnight...,1
58,Miracle Cure for Diabetes Discovered,Unknown,New research shows cures suppressed by pharmaceutical companies...,1
59,Miracle Cure for Diabetes Discovered,Unknown,New research shows cures suppressed by pharmaceutical companies...,1
60,Miracle Cure for Diabetes Discovered,John Smith,This unbelievable event will change everything you know about the government...,1
61,Government Plans to Confiscate Guns,Alex Johnson,Politician caught in scandal that mainstream media refuses to report...,1
62,Local Community Center Opens New Wing,Jane Doe,"According to a recent report by credible sources, the city budget increased by 5%.",0
63,Scientists Map Human Genome Progress,Alex Johnson,"According to a recent report by credible sources, the city budget increased by 5%.",0
64,Celeb Scandals Hidden from You,Jane Doe,New research shows cures suppressed by pharmaceutical companies...,1
65,Miracle Cure for Diabetes Discovered,Alex Johnson,Secret studies reveal that drinking this tea daily can help you lose weight overnight...,1
66,Stock Market Sees Moderate Growth,John Smith,"In an interview, the mayor highlighted community involvement in the project.",0
67,Stock Market Sees Moderate Growth,John Smith,"According to a recent report by credible sources, the city budget increased by 5%.",0
68,Miracle Cure for Diabetes Discovered,Patricia Brown,Secret studies reveal that drinking this tea daily can help you lose weight overnight...,1
69,You Won’t Believe What Politician Said,John Smith,Secret studies reveal that drinking this tea daily can help you lose weight overnight...,1
70,New Study Reveals Benefits of Exercise,Jane Doe,Officials announced a new public transportation route aimed at reducing traffic.,0
71,Shocking Health Secret Exposed,Patricia Brown,This unbelievable event will change everything you know about the government...,1
72,Mayor Announces Infrastructure Plan,Unknown,"According to a recent report by credible sources, the city budget increased by 5%.",0
73,Celeb Scandals Hidden from You,Sam Lee,New research shows cures suppressed by pharmaceutical companies...,1
74,Government Plans to Confiscate Guns,Sam Lee,New research shows cures suppressed by pharmaceutical companies...,1
75,Government Plans to Confiscate Guns,Jane Doe,Secret studies reveal that drinking this tea daily can help you lose weight overnight...,1
76,Miracle Cure for Diabetes Discovered,Jane Doe,Politician caught in scandal that mainstream media refuses to report...,1
77,Government Plans to Confiscate Guns,Jane Doe,This unbelievable event will change everything you know about the government...,1
78,Shocking Health Secret Exposed,Jane Doe,Secret studies reveal that drinking this tea daily can help you lose weight overnight...,1
79,Stock Market Sees Moderate Growth,Sam Lee,"In an interview, the mayor highlighted community involvement in the project.",0
80,Stock Market Sees Moderate Growth,Patricia Brown,"In an interview, the mayor highlighted community involvement in the project.",0
81,Local Community Center Opens New Wing,Sam Lee,"The study, conducted over five years, demonstrates a strong correlation between A and B.",0
82,Celeb Scandals Hidden from You,Jane Doe,New research shows cures suppressed by pharmaceutical companies...,1
83,Local Community Center Opens New Wing,Sam Lee,"According to a recent report by credible sources, the city budget increased by 5%.",0
84,You Won’t Believe What Politician Said,Alex Johnson,Secret studies reveal that drinking this tea daily can help you lose weight overnight...,1
85,Local Community Center Opens New Wing,John Smith,"According to a recent report by credible sources, the city budget increased by 5%.",0
86,Scientists Map Human Genome Progress,Sam Lee,"In an interview, the mayor highlighted community involvement in the project.",0
87,Government Plans to Confiscate Guns,Patricia Brown,This unbelievable event will change everything you know about the government...,1
88,New Study Reveals Benefits of Exercise,Sam Lee,"In an interview, the mayor highlighted community involvement in the project.",0
89,Stock Market Sees Moderate Growth,Alex Johnson,"According to a recent report by credible sources, the city budget increased by 5%.",0
90,New Study Reveals Benefits of Exercise,Alex Johnson,"According to a recent report by credible sources, the city budget increased by 5%.",0
91,You Won’t Believe What Politician Said,Sam Lee,This unbelievable event will change everything you know about the government...,1
92,Local Community Center Opens New Wing,Jane Doe,"According to a recent report by credible sources, the city budget increased by 5%.",0
93,Miracle Cure for Diabetes Discovered,John Smith,New research shows cures suppressed by pharmaceutical companies...,1
94,Stock Market Sees Moderate Growth,Sam Lee,"In an interview, the mayor highlighted community involvement in the project.",0
95,Local Community Center Opens New Wing,Alex Johnson,"According to a recent report by credible sources, the city budget increased by 5%.",0
96,Local Community Center Opens New Wing,Jane Doe,"In an interview, the mayor highlighted community involvement in the project.",0
97,Local Community Center Opens New Wing,Jane Doe,"In an interview, the mayor highlighted community involvement in the project.",0
98,Celeb Scandals Hidden from You,Jane Doe,Secret studies reveal that drinking this tea daily can help you lose weight overnight...,1
99,Mayor Announces Infrastructure Plan,Unknown,"In an interview, the mayor highlighted community involvement in the project.",0
100,Scientists Map Human Genome Progress,John Smith,"The study, conducted over five years, demonstrates a strong correlation between A and B.",0
101,Mayor Announces Infrastructure Plan,Alex Johnson,Officials announced a new public transportation route aimed at reducing traffic.,0
102,Local Community Center Opens New Wing,Alex Johnson,Officials announced a new public transportation route aimed at reducing traffic.,0
103,Celeb Scandals Hidden from You,Jane Doe,New research shows cures suppressed by pharmaceutical companies...,1
104,Scientists Map Human Genome Progress,John Smith,"According to a recent report by credible sources, the city budget increased by 5%.",0
105,You Won’t Believe What Politician Said,Unknown,Secret studies reveal that drinking this tea daily can help you lose weight overnight...,1
106,Local Community Center Opens New Wing,Sam Lee,"The study, conducted over five years, demonstrates a strong correlation between A and B.",0
107,New Study Reveals Benefits of Exercise,Jane Doe,Officials announced a new public transportation route aimed at reducing traffic.,0
108,You Won’t Believe What Politician Said,Jane Doe,This unbelievable event will change everything you know about the government...,1
109,Government Plans to Confiscate Guns,Patricia Brown,Politician caught in scandal that mainstream media refuses to report...,1
110,You Won’t Believe What Politician Said,Unknown,New research shows cures suppressed by pharmaceutical companies...,1
111,Scientists Map Human Genome Progress,Patricia Brown,"The study, conducted over five years, demonstrates a strong correlation between A and B.",0
112,Scientists Map Human Genome Progress,John Smith,Officials announced a new public transportation route aimed at reducing traffic.,0
113,Celeb Scandals Hidden from You,Patricia Brown,Secret studies reveal that drinking this tea daily can help you lose weight overnight...,1
114,Celeb Scandals Hidden from You,Patricia Brown,Politician caught in scandal that mainstream media refuses to report...,1
115,Local Community Center Opens New Wing,Patricia Brown,"The study, conducted over five years, demonstrates a strong correlation between A and B.",0
116,Local Community Center Opens New Wing,Alex Johnson,Officials announced a new public transportation route aimed at reducing traffic.,0
117,Celeb Scandals Hidden from You,Patricia Brown,This unbelievable event will change everything you know about the government...,1
118,You Won’t Believe What Politician Said,Sam Lee,Secret studies reveal that drinking this tea daily can help you lose weight overnight...,1
119,Government Plans to Confiscate Guns,Sam Lee,New research shows cures suppressed by pharmaceutical companies...,1
120,Celeb Scandals Hidden from You,Patricia Brown,Secret studies reveal that drinking this tea daily can help you lose weight overnight...,1
121,Government Plans to Confiscate Guns,Jane Doe,This unbelievable event will change everything you know about the government...,1
122,Government Plans to Confiscate Guns,Unknown,Secret studies reveal that drinking this tea daily can help you lose weight overnight...,1
123,Stock Market Sees Moderate Growth,John Smith,"In an interview, the mayor highlighted community involvement in the project.",0
124,New Study Reveals Benefits of Exercise,Jane Doe,"In an interview, the mayor highlighted community involvement in the project.",0
125,You Won’t Believe What Politician Said,Patricia Brown,Politician caught in scandal that mainstream media refuses to report...,1
126,Local Community Center Opens New Wing,Alex Johnson,"According to a recent report by credible sources, the city budget increased by 5%.",0
127,New Study Reveals Benefits of Exercise,Jane Doe,"The study, conducted over five years, demonstrates a strong correlation between A and B.",0
128,You Won’t Believe What Politician Said,Unknown,This unbelievable event will change everything you know about the government...,1
129,Miracle Cure for Diabetes Discovered,Jane Doe,New research shows cures suppressed by pharmaceutical companies...,1
130,Shocking Health Secret Exposed,Unknown,Politician caught in scandal that mainstream media refuses to report...,1
131,Celeb Scandals Hidden from You,Unknown,Politician caught in scandal that mainstream media refuses to report...,1
132,Government Plans to Confiscate Guns,Unknown,Politician caught in scandal that mainstream media refuses to report...,1
133,Shocking Health Secret Exposed,Unknown,Secret studies reveal that drinking this tea daily can help you lose weight overnight...,1
134,Shocking Health Secret Exposed,Alex Johnson,Politician caught in scandal that mainstream media refuses to report...,1
135,Stock Market Sees Moderate Growth,Patricia Brown,"In an interview, the mayor highlighted community involvement in the project.",0
136,Scientists Map Human Genome Progress,Jane Doe,"In an interview, the mayor highlighted community involvement in the project.",0
137,Scientists Map Human Genome Progress,Jane Doe,"In an interview, the mayor highlighted community involvement in the project.",0
138,New Study Reveals Benefits of Exercise,Alex Johnson,Officials announced a new public transportation route aimed at reducing traffic.,0
139,Mayor Announces Infrastructure Plan,Jane Doe,"The study, conducted over five years, demonstrates a strong correlation between A and B.",0
140,Celeb Scandals Hidden from You,Sam Lee,This unbelievable event will change everything you know about the government...,1
141,New Study Reveals Benefits of Exercise,Jane Doe,Officials announced a new public transportation route aimed at reducing traffic.,0
142,Shocking Health Secret Exposed,Unknown,This unbelievable event will change everything you know about the government...,1
143,Miracle Cure for Diabetes Discovered,Patricia Brown,This unbelievable event will change everything you know about the government...,1
144,Miracle Cure for Diabetes Discovered,John Smith,Secret studies reveal that drinking this tea daily can help you lose weight overnight...,1
145,Shocking Health Secret Exposed,Jane Doe,This unbelievable event will change everything you know about the government...,1
146,You Won’t Believe What Politician Said,Patricia Brown,Politician caught in scandal that mainstream media refuses to report...,1
147,Shocking Health Secret Exposed,Alex Johnson,Secret studies reveal that drinking this tea daily can help you lose weight overnight...,1
148,You Won’t Believe What Politician Said,Unknown,This unbelievable event will change everything you know about the government...,1
149,Stock Market Sees Moderate Growth,Patricia Brown,"In an interview, the mayor highlighted community involvement in the project.",0
150,Local Community Center Opens New Wing,Sam Lee,"In an interview, the mayor highlighted community involvement in the project.",0
151,Miracle Cure for Diabetes Discovered,Sam Lee,Secret studies reveal that drinking this tea daily can help you lose weight overnight...,1
152,Miracle Cure for Diabetes Discovered,Alex Johnson,New research shows cures suppressed by pharmaceutical companies...,1
153,New Study Reveals Benefits of Exercise,Unknown,"The study, conducted over five years, demonstrates a strong correlation between A and B.",0
154,Local Community Center Opens New Wing,Patricia Brown,"In an interview, the mayor highlighted community involvement in the project.",0
155,Government Plans to Confiscate Guns,John Smith,Politician caught in scandal that mainstream media refuses to report...,1
156,Mayor Announces Infrastructure Plan,Jane Doe,"According to a recent report by credible sources, the city budget increased by 5%.",0
157,Miracle Cure for Diabetes Discovered,Sam Lee,This unbelievable event will change everything you know about the government...,1
158,New Study Reveals Benefits of Exercise,Sam Lee,"In an interview, the mayor highlighted community involvement in the project.",0
159,Shocking Health Secret Exposed,John Smith,New research shows cures suppressed by pharmaceutical companies...,1
160,New Study Reveals Benefits of Exercise,Patricia Brown,"The study, conducted over five years, demonstrates a strong correlation between A and B.",0
161,Celeb Scandals Hidden from You,John Smith,Secret studies reveal that drinking this tea daily can help you lose weight overnight...,1
162,New Study Reveals Benefits of Exercise,John Smith,"The study, conducted over five years, demonstrates a strong correlation between A and B.",0
163,New Study Reveals Benefits of Exercise,Patricia Brown,Officials announced a new public transportation route aimed at reducing traffic.,0
164,New Study Reveals Benefits of Exercise,Jane Doe,"The study, conducted over five years, demonstrates a strong correlation between A and B.",0
165,Celeb Scandals Hidden from You,Sam Lee,This unbelievable event will change everything you know about the government...,1
166,Local Community Center Opens New Wing,John Smith,Officials announced a new public transportation route aimed at reducing traffic.,0
167,Stock Market Sees Moderate Growth,Unknown,"In an interview, the mayor highlighted community involvement in the project.",0
168,Scientists Map Human Genome Progress,Sam Lee,"According to a recent report by credible sources, the city budget increased by 5%.",0
169,Scientists Map Human Genome Progress,Alex Johnson,"The study, conducted over five years, demonstrates a strong correlation between A and B.",0
170,Government Plans to Confiscate Guns,Alex Johnson,New research shows cures suppressed by pharmaceutical companies...,1
171,New Study Reveals Benefits of Exercise,Alex Johnson,"According to a recent report by credible sources, the city budget increased by 5%.",0
172,New Study Reveals Benefits of Exercise,Unknown,Officials announced a new public transportation route aimed at reducing traffic.,0
173,Celeb Scandals Hidden from You,Unknown,New research shows cures suppressed by pharmaceutical companies...,1
174,You Won’t Believe What Politician Said,Patricia Brown,New research shows cures suppressed by pharmaceutical companies...,1
175,Government Plans to Confiscate Guns,Alex Johnson,This unbelievable event will change everything you know about the government...,1
176,Celeb Scandals Hidden from You,John Smith,New research shows cures suppressed by pharmaceutical companies...,1
177,Miracle Cure for Diabetes Discovered,Unknown,New research shows cures suppressed by pharmaceutical companies...,1
178,Government Plans to Confiscate Guns,John Smith,Secret studies reveal that drinking this tea daily can help you lose weight overnight...,1
179,Government Plans to Confiscate Guns,Sam Lee,Politician caught in scandal that mainstream media refuses to report...,1
180,You Won’t Believe What Politician Said,Patricia Brown,Politician caught in scandal that mainstream media refuses to report...,1
181,Local Community Center Opens New Wing,Alex Johnson,"The study, conducted over five years, demonstrates a strong correlation between A and B.",0
182,Stock Market Sees Moderate Growth,John Smith,"In an interview, the mayor highlighted community involvement in the project.",0
183,Government Plans to Confiscate Guns,John Smith,New research shows cures suppressed by pharmaceutical companies...,1
184,You Won’t Believe What Politician Said,Jane Doe,Secret studies reveal that drinking this tea daily can help you lose weight overnight...,1
185,Shocking Health Secret Exposed,Patricia Brown,Politician caught in scandal that mainstream media refuses to report...,1
186,You Won’t Believe What Politician Said,Unknown,Secret studies reveal that drinking this tea daily can help you lose weight overnight...,1
187,Scientists Map Human Genome Progress,Unknown,"According to a recent report by credible sources, the city budget increased by 5%.",0
188,Celeb Scandals Hidden from You,Jane Doe,This unbelievable event will change everything you know about the government...,1
189,Shocking Health Secret Exposed,Alex Johnson,This unbelievable event will change everything you know about the government...,1
190,Local Community Center Opens New Wing,Jane Doe,"According to a recent report by credible sources, the city budget increased by 5%.",0
191,Scientists Map Human Genome Progress,Patricia Brown,"According to a recent report by credible sources, the city budget increased by 5%.",0
192,Local Community Center Opens New Wing,Jane Doe,Officials announced a new public transportation route aimed at reducing traffic.,0
193,Miracle Cure for Diabetes Discovered,John Smith,Secret studies reveal that drinking this tea daily can help you lose weight overnight...,1
194,New Study Reveals Benefits of Exercise,Alex Johnson,"According to a recent report by credible sources, the city budget increased by 5%.",0
195,Miracle Cure for Diabetes Discovered,Jane Doe,Politician caught in scandal that mainstream media refuses to report...,1
196,Shocking Health Secret Exposed,Alex Johnson,This unbelievable event will change everything you know about the government...,1
197,Celeb Scandals Hidden from You,Jane Doe,This unbelievable event will change everything you know about the government...,1
198,Scientists Map Human Genome Progress,Alex Johnson,"According to a recent report by credible sources, the city budget increased by 5%.",0
199,Local Community Center Opens New Wing,John Smith,"According to a recent report by credible sources, the city budget increased by 5%.",0
200,Government Plans to Confiscate Guns,Patricia Brown,New research shows cures suppressed by pharmaceutical companies...,1
201,Miracle Cure for Diabetes Discovered,John Smith,New research shows cures suppressed by pharmaceutical companies...,1
202,You Won’t Believe What Politician Said,Patricia Brown,Politician caught in scandal that mainstream media refuses to report...,1
203,Celeb Scandals Hidden from You,Patricia Brown,New research shows cures suppressed by pharmaceutical companies...,1
204,New Study Reveals Benefits of Exercise,Alex Johnson,"The study, conducted over five years, demonstrates a strong correlation between A and B.",0
205,Government Plans to Confiscate Guns,Sam Lee,This unbelievable event will change everything you know about the government...,1
206,Local Community Center Opens New Wing,Unknown,"In an interview, the mayor highlighted community involvement in the project.",0
207,You Won’t Believe What Politician Said,John Smith,Secret studies reveal that drinking this tea daily can help you lose weight overnight...,1
208,Celeb Scandals Hidden from You,John Smith,Secret studies reveal that drinking this tea daily can help you lose weight overnight...,1
209,New Study Reveals Benefits of Exercise,Jane Doe,"The study, conducted over five years, demonstrates a strong correlation between A and B.",0
210,You Won’t Believe What Politician Said,Unknown,Politician caught in scandal that mainstream media refuses to report...,1
211,Celeb Scandals Hidden from You,Alex Johnson,New research shows cures suppressed by pharmaceutical companies...,1
212,Shocking Health Secret Exposed,Alex Johnson,New research shows cures suppressed by pharmaceutical companies...,1
213,Mayor Announces Infrastructure Plan,John Smith,"The study, conducted over five years, demonstrates a strong correlation between A and B.",0
214,Shocking Health Secret Exposed,Jane Doe,Politician caught in scandal that mainstream media refuses to report...,1
215,Celeb Scandals Hidden from You,Sam Lee,Secret studies reveal that drinking this tea daily can help you lose weight overnight...,1
216,You Won’t Believe What Politician Said,Sam Lee,Politician caught in scandal that mainstream media refuses to report...,1
217,Scientists Map Human Genome Progress,Alex Johnson,"In an interview, the mayor highlighted community involvement in the project.",0
218,You Won’t Believe What Politician Said,Sam Lee,New research shows cures suppressed by pharmaceutical companies...,1
219,You Won’t Believe What Politician Said,Alex Johnson,This unbelievable event will change everything you know about the government...,1
220,Mayor Announces Infrastructure Plan,Unknown,"In an interview, the mayor highlighted community involvement in the project.",0
221,You Won’t Believe What Politician Said,John Smith,Politician caught in scandal that mainstream media refuses to report...,1
222,Stock Market Sees Moderate Growth,John Smith,Officials announced a new public transportation route aimed at reducing traffic.,0
223,Local Community Center Opens New Wing,Sam Lee,Officials announced a new public transportation route aimed at reducing traffic.,0
224,Scientists Map Human Genome Progress,Alex Johnson,"According to a recent report by credible sources, the city budget increased by 5%.",0
225,New Study Reveals Benefits of Exercise,Sam Lee,Officials announced a new public transportation route aimed at reducing traffic.,0
226,Miracle Cure for Diabetes Discovered,Sam Lee,Secret studies reveal that drinking this tea daily can help you lose weight overnight...,1
227,Scientists Map Human Genome Progress,Unknown,Officials announced a new public transportation route aimed at reducing traffic.,0
228,Stock Market Sees Moderate Growth,Sam Lee,Officials announced a new public transportation route aimed at reducing traffic.,0
229,Miracle Cure for Diabetes Discovered,Unknown,New research shows cures suppressed by pharmaceutical companies...,1
230,Government Plans to Confiscate Guns,Patricia Brown,Secret studies reveal that drinking this tea daily can help you lose weight overnight...,1
231,You Won’t Believe What Politician Said,Sam Lee,Politician caught in scandal that mainstream media refuses to report...,1
232,Stock Market Sees Moderate Growth,Patricia Brown,"In an interview, the mayor highlighted community involvement in the project.",0
233,New Study Reveals Benefits of Exercise,Sam Lee,"In an interview, the mayor highlighted community involvement in the project.",0
234,Government Plans to Confiscate Guns,Alex Johnson,Secret studies reveal that drinking this tea daily can help you lose weight overnight...,1
235,New Study Reveals Benefits of Exercise,Jane Doe,"According to a recent report by credible sources, the city budget increased by 5%.",0
236,New Study Reveals Benefits of Exercise,Patricia Brown,"The study, conducted over five years, demonstrates a strong correlation between A and B.",0
237,Shocking Health Secret Exposed,Alex Johnson,New research shows cures suppressed by pharmaceutical companies...,1
238,New Study Reveals Benefits of Exercise,Alex Johnson,"The study, conducted over five years, demonstrates a strong correlation between A and B.",0
239,You Won’t Believe What Politician Said,Patricia Brown,Politician caught in scandal that mainstream media refuses to report...,1
240,Government Plans to Confiscate Guns,Sam Lee,Secret studies reveal that drinking this tea daily can help you lose weight overnight...,1
241,New Study Reveals Benefits of Exercise,Alex Johnson,"The study, conducted over five years, demonstrates a strong correlation between A and B.",0
242,You Won’t Believe What Politician Said,Jane Doe,Secret studies reveal that drinking this tea daily can help you lose weight overnight...,1
243,You Won’t Believe What Politician Said,Patricia Brown,Politician caught in scandal that mainstream media refuses to report...,1
244,Scientists Map Human Genome Progress,John Smith,"The study, conducted over five years, demonstrates a strong correlation between A and B.",0
245,Mayor Announces Infrastructure Plan,Unknown,"The study, conducted over five years, demonstrates a strong correlation between A and B.",0
246,Local Community Center Opens New Wing,Patricia Brown,Officials announced a new public transportation route aimed at reducing traffic.,0
247,Government Plans to Confiscate Guns,Patricia Brown,New research shows cures suppressed by pharmaceutical companies...,1
248,Celeb Scandals Hidden from You,Unknown,This unbelievable event will change everything you know about the government...,1
249,You Won’t Believe What Politician Said,Unknown,Secret studies reveal that drinking this tea daily can help you lose weight overnight...,1
250,Government Plans to Confiscate Guns,Sam Lee,Secret studies reveal that drinking this tea daily can help you lose weight overnight...,1
251,Mayor Announces Infrastructure Plan,Unknown,"The study, conducted over five years, demonstrates a strong correlation between A and B.",0
252,Shocking Health Secret Exposed,Sam Lee,Secret studies reveal that drinking this tea daily can help you lose weight overnight...,1
253,You Won’t Believe What Politician Said,John Smith,Secret studies reveal that drinking this tea daily can help you lose weight overnight...,1
254,Shocking Health Secret Exposed,Sam Lee,Secret studies reveal that drinking this tea daily can help you lose weight overnight...,1
255,Mayor Announces Infrastructure Plan,Jane Doe,"According to a recent report by credible sources, the city budget increased by 5%.",0
256,Local Community Center Opens New Wing,Sam Lee,"The study, conducted over five years, demonstrates a strong correlation between A and B.",0
257,Local Community Center Opens New Wing,Sam Lee,"In an interview, the mayor highlighted community involvement in the project.",0
258,Shocking Health Secret Exposed,Alex Johnson,New research shows cures suppressed by pharmaceutical companies...,1
259,New Study Reveals Benefits of Exercise,Sam Lee,"According to a recent report by credible sources, the city budget increased by 5%.",0
260,Mayor Announces Infrastructure Plan,John Smith,"In an interview, the mayor highlighted community involvement in the project.",0
261,You Won’t Believe What Politician Said,Jane Doe,Politician caught in scandal that mainstream media refuses to report...,1
262,You Won’t Believe What Politician Said,Alex Johnson,Politician caught in scandal that mainstream media refuses to report...,1
263,You Won’t Believe What Politician Said,Jane Doe,Politician caught in scandal that mainstream media refuses to report...,1
264,Shocking Health Secret Exposed,Alex Johnson,This unbelievable event will change everything you know about the government...,1
265,Miracle Cure for Diabetes Discovered,Jane Doe,Politician caught in scandal that mainstream media refuses to report...,1
266,You Won’t Believe What Politician Said,Unknown,Politician caught in scandal that mainstream media refuses to report...,1
267,New Study Reveals Benefits of Exercise,Unknown,"The study, conducted over five years, demonstrates a strong correlation between A and B.",0
268,Shocking Health Secret Exposed,Unknown,This unbelievable event will change everything you know about the government...,1
269,Celeb Scandals Hidden from You,Sam Lee,New research shows cures suppressed by pharmaceutical companies...,1
270,Government Plans to Confiscate Guns,Jane Doe,Politician caught in scandal that mainstream media refuses to report...,1
271,Mayor Announces Infrastructure Plan,John Smith,"According to a recent report by credible sources, the city budget increased by 5%.",0
272,Stock Market Sees Moderate Growth,Unknown,Officials announced a new public transportation route aimed at reducing traffic.,0
273,You Won’t Believe What Politician Said,John Smith,New research shows cures suppressed by pharmaceutical companies...,1
274,New Study Reveals Benefits of Exercise,Jane Doe,Officials announced a new public transportation route aimed at reducing traffic.,0
275,Shocking Health Secret Exposed,Alex Johnson,Politician caught in scandal that mainstream media refuses to report...,1
276,Shocking Health Secret Exposed,Jane Doe,Secret studies reveal that drinking this tea daily can help you lose weight overnight...,1
277,Local Community Center Opens New Wing,Unknown,"In an interview, the mayor highlighted community involvement in the project.",0
